computed: ['13.45', '86.55', '0.00']
pension: ['0.02', '99.72', '0.26']
rays: ['2.47', '0.01', '97.52']
film: ['0.24', '75.61', '24.15']
voyeur: ['7.05', '91.53', '1.41']
enrollment: ['0.47', '0.61', '98.91']
determine: ['3.22', '96.78', '0.00']
presentations: ['15.76', '75.16', '9.08']
medicines: ['0.02', '97.70', '2.28']
viewers: ['0.66', '13.68', '85.65']
teaches: ['0.33', '5.20', '94.47']
transexuales: ['19.07', '33.67', '47.25']
interpretation: ['1.77', '87.08', '11.15']
gene: ['0.00', '100.00', '0.00']
prefers: ['35.20', '11.89', '52.90']
beautiful: ['91.38', '0.12', '8.49']
walks: ['0.00', '0.05', '99.95']
banking: ['66.06', '0.01', '33.92']
perception: ['2.32', '81.02', '16.67']
suspect: ['38.21', '57.94', '3.84']
organ: ['74.30', '0.22', '25.49']
shine: ['44.34', '51.81', '3.84']
starsmerchant: ['19.07', '33.67', '47.25']
greatest: ['100.00', '0.00', '0.00']
premiere: ['16.42', '0.02', '83.56']
specifications: ['0.06', '99.92', '0.02']
contributed: ['99.99', '0.00', '0.01']
calling: ['80.40', '1.25', '18.35']
memo: ['0.33', '18.22', '81.45']
donations: ['0.02', '2.82', '97.15']
mud: ['0.00', '99.82', '0.18']
cited: ['99.91', '0.00', '0.09']
mirrors: ['87.93', '2.85', '9.22']
lecture: ['11.43', '88.44', '0.12']
alot: ['0.05', '99.95', '0.00']
expanding: ['99.41', '0.34', '0.24']
observation: ['0.63', '87.90', '11.47']
thesaurus: ['99.84', '0.07', '0.09']
media: ['0.00', '99.99', '0.01']
goods: ['0.64', '99.36', '0.00']
networking: ['33.63', '21.42', '44.94']
scout: ['2.11', '3.37', '94.52']
legitimate: ['53.31', '46.24', '0.46']
certain: ['0.47', '99.53', '0.00']
strange: ['62.32', '37.64', '0.04']
fort: ['2.53', '26.93', '70.54']
characterized: ['99.94', '0.00', '0.06']
penetration: ['0.42', '5.76', '93.82']
tour: ['4.77', '0.00', '95.23']
centers: ['69.47', '0.00', '30.53']
fi: ['100.00', '0.00', '0.00']
strengthen: ['99.33', '0.41', '0.26']
failure: ['0.12', '71.79', '28.09']
shepherd: ['0.71', '23.17', '76.11']
naples: ['42.33', '48.54', '9.13']
click: ['99.90', '0.00', '0.10']
extreme: ['93.55', '6.45', '0.00']
dependence: ['0.07', '99.92', '0.02']
annual: ['81.67', '18.33', '0.00']
voice: ['8.37', '0.01', '91.62']
firewall: ['30.71', '20.24', '49.05']
licence: ['31.08', '11.61', '57.31']
vanilla: ['2.38', '93.40', '4.21']
ga: ['42.88', '57.12', '0.00']
alphabetical: ['5.50', '94.48', '0.02']
median: ['0.00', '100.00', '0.00']
dedicated: ['99.98', '0.02', '0.00']
silly: ['95.71', '4.29', '0.00']
respondent: ['84.13', '15.55', '0.31']
abilities: ['0.11', '98.94', '0.94']
observed: ['98.00', '0.78', '1.22']
injection: ['0.69', '50.38', '48.93']
cut: ['6.59', '14.40', '79.01']
gift: ['40.81', '1.50', '57.69']
jet: ['0.00', '2.76', '97.23']
dice: ['0.01', '4.45', '95.54']
flame: ['0.10', '98.47', '1.43']
snapshot: ['0.01', '98.68', '1.30']
saying: ['81.01', '14.52', '4.46']
homeless: ['3.87', '88.20', '7.93']
evanescence: ['7.02', '89.77', '3.21']
flows: ['27.97', '2.18', '69.84']
saw: ['0.05', '0.50', '99.45']
laboratories: ['93.34', '3.47', '3.19']
players: ['0.02', '0.03', '99.94']
hunger: ['5.73', '0.68', '93.59']
recreation: ['0.63', '54.22', '45.15']
dump: ['52.61', '41.06', '6.32']
formatting: ['85.96', '12.05', '1.98']
switches: ['36.91', '0.78', '62.31']
reform: ['92.26', '3.45', '4.29']
prostores: ['19.07', '33.67', '47.25']
signed: ['0.02', '0.01', '99.97']
adequate: ['1.02', '98.97', '0.01']
figured: ['8.08', '91.66', '0.25']
gain: ['0.00', '99.89', '0.10']
tripadvisor: ['48.63', '6.96', '44.41']
weak: ['0.16', '99.84', '0.00']
builders: ['99.86', '0.04', '0.10']
masters: ['99.67', '0.22', '0.11']
seminars: ['99.78', '0.12', '0.10']
guitars: ['99.67', '0.02', '0.32']
governments: ['1.33', '72.32', '26.35']
duration: ['0.03', '51.93', '48.03']
efficient: ['93.04', '6.95', '0.01']
activity: ['19.89', '24.93', '55.18']
abstracts: ['78.64', '21.30', '0.06']
concepts: ['1.46', '98.52', '0.02']
made: ['100.00', '0.00', '0.00']
solutions: ['95.05', '3.59', '1.36']
societies: ['0.26', '0.98', '98.75']
opinions: ['0.16', '99.84', '0.00']
roommate: ['0.47', '94.62', '4.91']
trinity: ['0.36', '90.83', '8.81']
acoustic: ['97.42', '1.80', '0.78']
distinction: ['65.84', '9.81', '24.35']
gray: ['60.12', '39.04', '0.84']
worry: ['10.17', '89.68', '0.16']
impose: ['0.02', '99.97', '0.00']
kills: ['0.07', '0.31', '99.61']
peripheral: ['99.74', '0.20', '0.06']
arts: ['0.00', '84.02', '15.98']
assistant: ['90.23', '6.43', '3.34']
spec: ['54.13', '45.87', '0.00']
function: ['0.26', '95.36', '4.38']
contests: ['47.92', '19.78', '32.30']
ate: ['0.00', '99.99', '0.01']
relating: ['99.66', '0.34', '0.00']
newer: ['99.75', '0.25', '0.00']
fighters: ['3.09', '1.56', '95.35']
employers: ['94.35', '0.58', '5.07']
playing: ['0.07', '4.35', '95.58']
sponsors: ['95.45', '0.38', '4.17']
tickets: ['41.89', '7.41', '50.69']
kiss: ['0.00', '99.92', '0.08']
alumni: ['95.94', '0.81', '3.25']
garage: ['2.59', '97.30', '0.11']
access: ['8.85', '0.00', '91.15']
condos: ['86.96', '0.40', '12.64']
german: ['3.92', '0.85', '95.23']
subsidiaries: ['99.98', '0.00', '0.02']
sites: ['66.85', '1.07', '32.09']
notes: ['7.49', '0.07', '92.45']
transmitted: ['95.17', '1.30', '3.53']
specialists: ['99.87', '0.07', '0.06']
webcast: ['99.97', '0.03', '0.00']
forests: ['0.48', '30.57', '68.95']
style: ['98.88', '0.11', '1.01']
administrative: ['54.68', '44.24', '1.07']
highways: ['91.67', '3.75', '4.58']
wrote: ['99.84', '0.00', '0.16']
directive: ['96.47', '3.49', '0.04']
samba: ['99.32', '0.68', '0.00']
defects: ['0.05', '99.88', '0.07']
shark: ['99.70', '0.00', '0.30']
troubleshooting: ['80.76', '18.46', '0.78']
properties: ['9.89', '88.62', '1.50']
ranked: ['0.05', '51.91', '48.05']
authorities: ['2.13', '91.90', '5.97']
support: ['0.45', '84.60', '14.95']
fruit: ['71.18', '1.47', '27.35']
acer: ['5.50', '90.93', '3.56']
worried: ['0.04', '99.96', '0.01']
contest: ['21.83', '77.27', '0.90']
corporate: ['99.74', '0.01', '0.25']
pay: ['99.76', '0.19', '0.05']
tennis: ['0.03', '5.67', '94.30']
hotels: ['77.45', '0.00', '22.55']
connections: ['12.70', '5.31', '81.99']
entrepreneurs: ['79.23', '0.04', '20.74']
desirable: ['33.11', '66.69', '0.20']
execution: ['0.03', '91.54', '8.43']
living: ['15.51', '17.90', '66.59']
wishes: ['6.96', '90.98', '2.06']
oval: ['0.30', '99.59', '0.11']
crazy: ['57.31', '42.69', '0.00']
boom: ['11.48', '29.76', '58.76']
digital: ['4.55', '1.62', '93.83']
writing: ['92.43', '5.81', '1.76']
consultancy: ['99.92', '0.03', '0.04']
cancellation: ['3.89', '69.13', '26.98']
readers: ['99.98', '0.01', '0.00']
domains: ['84.81', '0.19', '15.00']
idea: ['0.05', '99.95', '0.00']
cart: ['18.07', '0.00', '81.93']
storage: ['99.25', '0.02', '0.73']
decision: ['2.31', '67.86', '29.83']
set: ['1.22', '9.03', '89.75']
surrounded: ['90.66', '2.09', '7.25']
requiring: ['0.00', '97.91', '2.08']
boxed: ['19.59', '0.01', '80.40']
adopted: ['0.25', '97.84', '1.91']
moving: ['90.57', '9.41', '0.02']
factors: ['0.00', '99.99', '0.01']
hear: ['100.00', '0.00', '0.00']
forms: ['0.00', '0.77', '99.23']
laden: ['5.18', '22.04', '72.78']
balance: ['90.55', '9.45', '0.00']
sucking: ['82.50', '3.28', '14.22']
email: ['47.18', '0.20', '52.61']
kinds: ['49.99', '46.66', '3.35']
victorian: ['50.57', '25.03', '24.41']
posting: ['2.04', '97.96', '0.00']
bonus: ['100.00', '0.00', '0.00']
gambling: ['98.90', '1.08', '0.02']
carries: ['97.42', '0.14', '2.44']
keywords: ['93.38', '6.62', '0.00']
view: ['7.55', '92.05', '0.40']
refer: ['99.94', '0.01', '0.05']
north: ['82.05', '2.67', '15.28']
genome: ['1.45', '92.46', '6.10']
ips: ['0.45', '0.40', '99.15']
causing: ['96.25', '1.18', '2.57']
leads: ['100.00', '0.00', '0.00']
files: ['0.00', '37.16', '62.84']
machines: ['61.06', '38.92', '0.02']
rap: ['82.60', '17.40', '0.00']
anatomy: ['1.85', '96.07', '2.08']
retrieve: ['50.93', '11.99', '37.08']
priority: ['7.17', '43.71', '49.12']
run: ['0.00', '99.51', '0.48']
investing: ['97.81', '2.17', '0.02']
flex: ['98.84', '0.39', '0.76']
dude: ['10.13', '46.25', '43.63']
cars: ['99.99', '0.01', '0.00']
directories: ['99.87', '0.01', '0.12']
circulation: ['16.14', '82.07', '1.79']
zope: ['19.07', '33.67', '47.25']
catering: ['99.31', '0.34', '0.35']
takes: ['0.03', '0.11', '99.85']
radiation: ['0.11', '88.90', '10.99']
humanitarian: ['0.21', '3.57', '96.21']
satisfaction: ['35.90', '31.10', '33.01']
dozen: ['99.39', '0.61', '0.00']
pc: ['0.45', '0.40', '99.15']
approved: ['25.47', '72.42', '2.12']
rating: ['1.25', '85.35', '13.40']
giant: ['91.76', '0.46', '7.78']
opening: ['0.09', '28.94', '70.97']
forge: ['4.91', '68.87', '26.21']
dance: ['24.18', '75.81', '0.01']
enforcement: ['0.04', '99.65', '0.32']
terrace: ['2.16', '0.83', '97.01']
material: ['0.05', '99.92', '0.03']
decrease: ['71.72', '28.24', '0.04']
adoption: ['0.00', '99.02', '0.98']
blues: ['10.14', '84.96', '4.90']
contractors: ['99.92', '0.02', '0.06']
slave: ['58.45', '39.67', '1.88']
conventional: ['5.68', '94.30', '0.01']
rat: ['47.58', '41.92', '10.50']
destiny: ['5.12', '8.18', '86.70']
occurrence: ['3.09', '96.45', '0.46']
wage: ['0.00', '27.19', '72.81']
clause: ['0.27', '66.06', '33.67']
buses: ['92.06', '0.01', '7.93']
relation: ['5.39', '94.30', '0.31']
controlling: ['57.10', '33.87', '9.03']
reducing: ['99.66', '0.33', '0.01']
climb: ['0.06', '19.13', '80.82']
simplified: ['99.87', '0.11', '0.02']
missile: ['0.03', '10.49', '89.48']
detection: ['17.62', '43.88', '38.50']
beauty: ['10.98', '27.61', '61.41']
shipping: ['94.48', '1.15', '4.37']
photographic: ['86.62', '8.31', '5.06']
dns: ['0.00', '1.45', '98.55']
vintage: ['99.99', '0.00', '0.01']
counter: ['97.08', '0.01', '2.92']
favorite: ['97.65', '1.81', '0.54']
expressions: ['9.03', '60.06', '30.91']
remains: ['88.60', '0.00', '11.40']
flash: ['9.08', '73.50', '17.42']
stem: ['99.97', '0.03', '0.00']
protection: ['41.79', '8.97', '49.24']
resolution: ['0.10', '96.86', '3.03']
ray: ['44.54', '0.29', '55.17']
image: ['0.00', '92.38', '7.62']
definitions: ['65.77', '33.25', '0.98']
transferred: ['93.35', '6.12', '0.53']
deck: ['0.64', '0.16', '99.20']
nomination: ['0.17', '86.62', '13.21']
sons: ['89.04', '0.00', '10.95']
favourite: ['88.77', '5.83', '5.40']
touring: ['8.08', '0.02', '91.90']
effort: ['0.47', '22.91', '76.61']
conceptual: ['10.95', '89.02', '0.03']
burst: ['47.36', '1.83', '50.81']
growing: ['75.93', '19.89', '4.17']
optimal: ['93.26', '6.11', '0.64']
procurement: ['2.29', '94.65', '3.06']
valid: ['3.33', '96.38', '0.30']
bill: ['0.00', '100.00', '0.00']
invision: ['19.07', '33.67', '47.25']
truth: ['0.08', '99.90', '0.02']
elect: ['57.87', '41.69', '0.44']
performed: ['58.10', '39.96', '1.94']
searches: ['70.42', '0.93', '28.65']
placement: ['0.38', '92.99', '6.64']
external: ['6.58', '92.20', '1.23']
creation: ['0.78', '55.72', '43.50']
seminar: ['99.74', '0.26', '0.00']
restricted: ['55.28', '43.93', '0.80']
transition: ['4.48', '2.17', '93.34']
kept: ['1.84', '0.00', '98.16']
ieee: ['99.99', '0.01', '0.00']
idol: ['0.92', '98.94', '0.13']
lasting: ['92.56', '0.42', '7.03']
dept: ['38.56', '61.44', '0.00']
ear: ['6.29', '0.00', '93.71']
clocks: ['97.94', '0.01', '2.05']
previous: ['99.01', '0.98', '0.01']
matters: ['0.02', '99.96', '0.02']
strike: ['41.17', '1.60', '57.23']
probability: ['0.02', '99.97', '0.01']
ot: ['0.33', '99.67', '0.00']
continued: ['99.92', '0.00', '0.08']
magnetic: ['6.13', '93.62', '0.25']
matches: ['0.00', '0.00', '100.00']
nose: ['0.16', '0.46', '99.38']
warehouse: ['87.46', '0.41', '12.13']
shade: ['0.01', '94.56', '5.42']
influence: ['91.98', '2.27', '5.75']
participants: ['38.23', '26.51', '35.26']
fiber: ['85.96', '0.03', '14.01']
cream: ['2.75', '75.11', '22.14']
provinces: ['6.84', '6.65', '86.51']
cow: ['0.01', '99.97', '0.03']
starts: ['4.17', '0.02', '95.81']
hosts: ['78.97', '15.51', '5.52']
beverage: ['91.86', '7.96', '0.18']
diversity: ['0.70', '99.05', '0.25']
boutique: ['99.69', '0.00', '0.31']
constant: ['80.94', '19.03', '0.03']
conscious: ['96.74', '3.23', '0.03']
sector: ['0.28', '0.00', '99.72']
rear: ['0.07', '99.87', '0.06']
amenities: ['11.45', '58.29', '30.25']
knitting: ['2.23', '2.13', '95.65']
expertise: ['74.77', '20.03', '5.20']
come: ['98.49', '1.51', '0.00']
arrange: ['99.99', '0.01', '0.01']
cylinder: ['96.67', '0.01', '3.32']
rid: ['100.00', '0.00', '0.00']
principles: ['9.18', '90.14', '0.68']
layers: ['0.00', '0.00', '100.00']
compliance: ['2.84', '91.54', '5.63']
texts: ['3.46', '0.98', '95.56']
application: ['0.00', '92.77', '7.22']
lightweight: ['92.03', '0.01', '7.96']
blades: ['40.63', '6.02', '53.36']
evening: ['0.18', '99.53', '0.29']
satisfied: ['99.84', '0.15', '0.01']
damaged: ['99.24', '0.22', '0.54']
yields: ['1.56', '0.30', '98.14']
lbs: ['0.00', '10.70', '89.30']
enhanced: ['98.66', '1.24', '0.10']
offers: ['0.01', '0.00', '99.99']
proof: ['99.96', '0.04', '0.00']
literary: ['68.42', '2.21', '29.36']
fate: ['0.00', '99.68', '0.31']
push: ['16.25', '1.08', '82.67']
shoes: ['99.15', '0.03', '0.82']
band: ['99.58', '0.42', '0.00']
fundraising: ['75.13', '1.88', '23.00']
facilities: ['39.26', '21.82', '38.91']
pee: ['0.07', '80.45', '19.48']
images: ['3.98', '67.41', '28.62']
creature: ['3.24', '96.60', '0.16']
jungle: ['6.38', '37.86', '55.76']
appears: ['99.84', '0.00', '0.16']
explosion: ['1.70', '87.18', '11.12']
knows: ['0.00', '4.31', '95.68']
relaxation: ['0.34', '64.98', '34.68']
doll: ['4.26', '90.58', '5.16']
feed: ['6.84', '89.03', '4.14']
handle: ['99.89', '0.01', '0.10']
opportunities: ['0.17', '23.98', '75.85']
returns: ['19.59', '0.81', '79.60']
transexual: ['0.16', '75.98', '23.86']
warnings: ['5.54', '74.14', '20.32']
deployment: ['0.06', '33.86', '66.08']
members: ['26.00', '7.17', '66.83']
sophisticated: ['98.96', '0.76', '0.28']
financial: ['20.28', '68.45', '11.27']
convinced: ['94.88', '4.75', '0.37']
vulnerability: ['0.02', '82.29', '17.69']
theaters: ['0.00', '0.00', '100.00']
community: ['7.57', '0.57', '91.86']
pm: ['0.00', '100.00', '0.00']
update: ['37.54', '61.56', '0.89']
tea: ['0.00', '99.01', '0.99']
vegetable: ['45.34', '54.42', '0.23']
meetup: ['0.00', '100.00', '0.00']
posted: ['94.53', '5.47', '0.00']
brutal: ['56.42', '10.82', '32.76']
exhibition: ['99.46', '0.10', '0.44']
usda: ['6.08', '76.78', '17.14']
charts: ['1.31', '9.83', '88.86']
imaging: ['53.55', '22.97', '23.48']
seems: ['100.00', '0.00', '0.00']
downloadable: ['98.92', '0.08', '1.00']
bear: ['8.63', '89.45', '1.92']
hands: ['90.65', '0.52', '8.82']
surprise: ['3.10', '93.61', '3.30']
week: ['2.19', '2.25', '95.56']
ton: ['26.12', '73.88', '0.00']
transactions: ['0.34', '10.53', '89.13']
portuguese: ['82.98', '1.13', '15.89']
vitamins: ['95.93', '0.69', '3.39']
many: ['0.09', '99.91', '0.00']
vocal: ['98.92', '0.74', '0.34']
pump: ['81.70', '13.76', '4.54']
clicking: ['99.95', '0.00', '0.05']
lions: ['0.15', '97.19', '2.66']
snap: ['0.97', '45.36', '53.67']
yeast: ['0.94', '60.99', '38.07']
patent: ['95.60', '4.39', '0.01']
wicked: ['93.28', '1.19', '5.53']
repairs: ['95.63', '4.34', '0.03']
auction: ['4.89', '88.36', '6.75']
trainers: ['58.39', '34.72', '6.89']
portable: ['98.94', '0.30', '0.76']
vat: ['2.23', '4.56', '93.21']
dreams: ['6.04', '6.06', '87.90']
entities: ['4.37', '80.26', '15.36']
attributes: ['93.20', '2.45', '4.35']
study: ['0.37', '99.27', '0.36']
providence: ['0.78', '94.37', '4.85']
mercury: ['20.42', '78.53', '1.05']
streets: ['0.91', '0.04', '99.05']
annex: ['29.41', '69.41', '1.18']
sampling: ['16.50', '81.56', '1.93']
discusses: ['95.11', '3.90', '0.99']
recognition: ['0.36', '10.53', '89.11']
tulsa: ['8.48', '4.29', '87.23']
copying: ['38.51', '48.54', '12.95']
fish: ['96.00', '4.00', '0.01']
fundamentals: ['86.33', '13.61', '0.07']
fancy: ['98.84', '0.87', '0.28']
leaving: ['11.70', '17.39', '70.91']
mandatory: ['0.48', '24.62', '74.90']
suzuki: ['99.99', '0.01', '0.00']
rx: ['0.00', '98.55', '1.45']
wanted: ['0.01', '99.98', '0.01']
rebel: ['0.94', '64.13', '34.93']
door: ['6.82', '0.00', '93.18']
mold: ['75.31', '5.01', '19.69']
stats: ['0.03', '99.95', '0.02']
utility: ['43.64', '56.29', '0.08']
fixtures: ['34.99', '8.01', '57.00']
insights: ['69.38', '28.35', '2.27']
perceived: ['21.72', '51.19', '27.09']
descriptions: ['74.06', '22.28', '3.65']
reporting: ['0.29', '99.68', '0.02']
changelog: ['2.08', '97.52', '0.41']
elimination: ['1.76', '50.43', '47.81']
encouraging: ['83.28', '13.34', '3.38']
fleece: ['0.61', '0.12', '99.27']
diagnosis: ['0.84', '78.64', '20.52']
studied: ['2.08', '1.37', '96.56']
generate: ['99.54', '0.46', '0.00']
plugin: ['41.22', '45.26', '13.52']
blonde: ['0.08', '98.68', '1.24']
artists: ['92.32', '4.85', '2.82']
scratch: ['98.34', '0.20', '1.46']
planes: ['3.45', '8.54', '88.01']
cradle: ['0.00', '71.64', '28.36']
acting: ['0.84', '70.51', '28.64']
referral: ['79.71', '4.37', '15.92']
fresh: ['99.97', '0.00', '0.03']
density: ['0.01', '98.96', '1.03']
ranch: ['5.85', '90.51', '3.64']
entertainment: ['15.16', '81.25', '3.59']
cottage: ['0.14', '0.52', '99.34']
brokers: ['100.00', '0.00', '0.00']
afternoon: ['0.36', '99.37', '0.26']
baseball: ['0.03', '30.96', '69.01']
executive: ['78.31', '0.16', '21.54']
accused: ['0.00', '0.16', '99.84']
bath: ['0.18', '1.05', '98.77']
skill: ['0.05', '99.93', '0.02']
points: ['0.00', '0.00', '100.00']
visit: ['0.90', '72.65', '26.44']
yarn: ['46.17', '1.31', '52.51']
grams: ['0.09', '0.05', '99.86']
indigenous: ['70.84', '13.25', '15.91']
receivers: ['86.24', '3.99', '9.77']
tub: ['0.00', '99.96', '0.04']
absolute: ['99.72', '0.22', '0.06']
denial: ['3.45', '4.35', '92.20']
hunter: ['80.87', '0.03', '19.09']
twinks: ['99.03', '0.95', '0.02']
sleeping: ['0.04', '80.54', '19.41']
key: ['95.94', '0.97', '3.09']
cellular: ['99.73', '0.18', '0.09']
lovers: ['98.53', '0.03', '1.44']
intensity: ['48.30', '42.16', '9.54']
automobiles: ['99.90', '0.09', '0.00']
make: ['100.00', '0.00', '0.00']
budgets: ['68.30', '2.66', '29.03']
istanbul: ['9.82', '0.23', '89.95']
cry: ['0.00', '58.84', '41.16']
developments: ['0.03', '14.66', '85.31']
appear: ['89.75', '10.10', '0.15']
dialog: ['61.98', '0.99', '37.04']
republic: ['0.03', '99.46', '0.51']
girls: ['1.22', '3.65', '95.13']
jewish: ['2.40', '0.02', '97.58']
international: ['0.90', '22.67', '76.43']
deliver: ['99.86', '0.00', '0.14']
scripts: ['1.89', '3.07', '95.04']
atom: ['91.99', '1.72', '6.30']
restored: ['99.46', '0.22', '0.32']
understand: ['2.35', '97.39', '0.26']
banners: ['54.30', '31.01', '14.69']
towns: ['0.00', '0.00', '100.00']
proposed: ['0.16', '99.81', '0.03']
imagine: ['6.10', '2.76', '91.14']
openings: ['0.09', '6.31', '93.60']
workshops: ['99.76', '0.05', '0.19']
beats: ['5.72', '1.06', '93.22']
folk: ['4.26', '59.54', '36.20']
sheet: ['85.98', '0.13', '13.90']
chairman: ['6.47', '0.34', '93.19']
metallic: ['99.65', '0.25', '0.09']
gender: ['0.00', '99.32', '0.68']
navigation: ['19.46', '35.78', '44.76']
ways: ['0.01', '0.24', '99.75']
taking: ['1.63', '65.57', '32.80']
angels: ['82.69', '14.31', '3.00']
consistency: ['47.20', '52.33', '0.47']
listening: ['84.73', '5.36', '9.92']
industries: ['4.91', '0.58', '94.51']
team: ['90.53', '0.01', '9.47']
vertex: ['55.60', '24.50', '19.90']
depend: ['0.09', '99.91', '0.00']
participating: ['10.21', '34.41', '55.38']
match: ['0.00', '27.69', '72.30']
letter: ['80.50', '10.02', '9.48']
roses: ['0.19', '68.39', '31.43']
attempted: ['0.03', '3.50', '96.47']
bacon: ['0.00', '100.00', '0.00']
glucose: ['1.17', '53.61', '45.22']
generating: ['98.48', '1.52', '0.00']
derby: ['0.00', '99.73', '0.27']
exciting: ['99.62', '0.17', '0.21']
queen: ['0.00', '99.98', '0.02']
pavilion: ['0.64', '52.66', '46.70']
allowed: ['0.02', '6.35', '93.63']
epic: ['74.67', '0.00', '25.33']
premium: ['100.00', '0.00', '0.00']
ladies: ['99.00', '0.32', '0.68']
rally: ['0.05', '99.95', '0.00']
import: ['9.23', '90.74', '0.02']
crash: ['0.00', '99.99', '0.01']
rom: ['1.82', '97.71', '0.47']
pose: ['1.35', '98.65', '0.00']
verse: ['93.36', '0.12', '6.52']
casino: ['99.98', '0.00', '0.02']
dish: ['27.59', '12.26', '60.16']
arbitration: ['13.22', '74.74', '12.03']
evolution: ['7.71', '83.75', '8.54']
vsnet: ['19.07', '33.67', '47.25']
consequence: ['71.99', '15.11', '12.90']
spectrum: ['0.88', '99.10', '0.02']
innovations: ['2.27', '6.63', '91.10']
sole: ['97.85', '0.25', '1.90']
relationships: ['8.21', '81.59', '10.20']
guilty: ['0.09', '0.90', '99.01']
violent: ['95.60', '2.65', '1.76']
scripting: ['85.96', '12.05', '1.98']
unions: ['94.47', '0.01', '5.52']
cool: ['43.09', '56.91', '0.00']
moderators: ['99.89', '0.11', '0.00']
adding: ['99.89', '0.10', '0.01']
titten: ['19.07', '33.67', '47.25']
wisdom: ['0.05', '97.14', '2.81']
hollow: ['99.64', '0.09', '0.27']
position: ['1.59', '78.71', '19.70']
cedar: ['0.00', '91.97', '8.03']
expects: ['0.55', '2.11', '97.34']
accuracy: ['0.15', '99.83', '0.02']
protect: ['99.24', '0.74', '0.02']
optical: ['30.66', '65.20', '4.14']
larger: ['74.77', '25.19', '0.03']
war: ['0.86', '99.14', '0.00']
writes: ['98.86', '0.06', '1.08']
facility: ['72.87', '18.35', '8.78']
contribute: ['99.84', '0.14', '0.02']
theory: ['1.72', '98.28', '0.00']
frost: ['0.08', '49.25', '50.66']
lit: ['6.46', '0.41', '93.13']
done: ['99.99', '0.01', '0.00']
arrive: ['12.47', '86.83', '0.70']
passenger: ['57.11', '5.72', '37.17']
tagged: ['98.94', '1.06', '0.00']
transparent: ['96.90', '0.82', '2.28']
changes: ['0.01', '70.45', '29.54']
surprising: ['47.63', '52.17', '0.20']
ground: ['0.02', '98.78', '1.20']
strict: ['0.00', '100.00', '0.00']
compaq: ['72.29', '27.70', '0.01']
characters: ['35.68', '14.95', '49.37']
grows: ['0.44', '81.55', '18.00']
governing: ['41.36', '57.54', '1.10']
creative: ['98.51', '1.18', '0.31']
fairy: ['97.16', '0.40', '2.43']
shades: ['0.07', '0.03', '99.90']
findarticles: ['19.07', '33.67', '47.25']
lobby: ['0.35', '0.01', '99.64']
attended: ['0.38', '90.98', '8.63']
open: ['0.00', '99.74', '0.26']
australian: ['3.24', '47.68', '49.08']
scheduling: ['7.52', '85.46', '7.02']
magical: ['93.52', '5.14', '1.35']
conventions: ['0.60', '98.95', '0.45']
rolled: ['0.33', '67.30', '32.37']
emotional: ['0.00', '99.95', '0.05']
today: ['28.66', '71.31', '0.03']
fuzzy: ['4.82', '95.18', '0.01']
finance: ['64.00', '35.73', '0.26']
quarter: ['94.04', '5.76', '0.19']
recognized: ['97.40', '0.03', '2.57']
worm: ['69.74', '13.05', '17.22']
circumstances: ['0.34', '92.22', '7.43']
athletic: ['0.85', '96.91', '2.24']
arrives: ['1.51', '7.94', '90.55']
playback: ['0.12', '1.10', '98.78']
regarding: ['98.85', '1.09', '0.06']
comics: ['0.19', '99.80', '0.01']
locale: ['0.19', '58.61', '41.20']
laughing: ['0.45', '97.80', '1.75']
lowest: ['99.99', '0.01', '0.00']
mode: ['0.00', '0.00', '100.00']
supplemental: ['10.67', '89.25', '0.08']
nursery: ['26.95', '5.84', '67.21']
prefer: ['16.36', '83.11', '0.53']
responded: ['99.34', '0.35', '0.31']
convertible: ['97.90', '2.09', '0.01']
prepare: ['97.78', '1.80', '0.42']
arbitrary: ['11.27', '88.47', '0.27']
survey: ['97.08', '2.37', '0.55']
therapist: ['0.77', '61.57', '37.66']
significant: ['23.10', '76.73', '0.17']
tubes: ['18.60', '0.00', '81.40']
women: ['0.06', '0.06', '99.88']
zinc: ['33.70', '14.97', '51.33']
gets: ['0.01', '0.00', '99.99']
baskets: ['81.29', '0.01', '18.70']
documents: ['0.01', '99.72', '0.27']
gov: ['1.82', '97.71', '0.47']
ro: ['0.06', '99.94', '0.00']
evaluating: ['2.84', '97.13', '0.03']
tampa: ['98.09', '1.90', '0.01']
skating: ['4.85', '88.88', '6.27']
reserves: ['94.01', '1.23', '4.76']
resolved: ['99.99', '0.01', '0.00']
fine: ['97.87', '2.12', '0.01']
plan: ['99.44', '0.52', '0.03']
executed: ['8.56', '75.61', '15.82']
rapid: ['18.10', '0.05', '81.86']
heroes: ['65.16', '23.12', '11.71']
have: ['0.26', '99.71', '0.03']
product: ['66.62', '33.37', '0.01']
livecam: ['19.07', '33.67', '47.25']
insurance: ['77.78', '22.22', '0.00']
informational: ['0.00', '100.00', '0.00']
paragraph: ['99.76', '0.23', '0.01']
halloween: ['50.36', '3.52', '46.12']
prompt: ['92.95', '0.36', '6.69']
pockets: ['0.38', '0.00', '99.62']
blocks: ['0.18', '0.00', '99.82']
channels: ['1.97', '0.28', '97.75']
hook: ['4.41', '0.01', '95.58']
horrible: ['56.01', '43.60', '0.39']
springer: ['58.04', '10.94', '31.02']
verification: ['0.14', '97.57', '2.29']
bass: ['99.80', '0.01', '0.20']
considerations: ['0.13', '98.33', '1.54']
grid: ['96.81', '0.22', '2.98']
defendant: ['8.22', '90.33', '1.45']
